subject,trial,excluded,windowStart,windowEnd
sp003,78,0,627,1324
sp003,79,0,619,1512
sp003,80,0,596,1410
sp003,81,0,816,1530
sp003,82,0,483,1142
sp003,83,0,563,1170
sp003,84,0,590,1421
sp003,85,0,547,1132
sp003,86,0,538,1097
sp003,87,0,470,1237
sp003,88,0,744,1321
sp003,89,0,628,1391
sp003,90,0,537,1198
sp003,91,0,484,1127
sp003,92,0,670,1300
sp003,93,1,0,0
sp003,94,0,783,1476
sp003,95,0,450,1054
sp003,96,0,684,1298
sp003,97,0,610,1124
sp003,98,0,622,1065
sp003,99,0,471,1148
sp003,100,0,593,1187
sp003,101,0,513,1276
sp003,102,1,0,0
sp003,103,0,696,1338
sp003,104,0,492,1183
sp003,105,0,455,1047
sp003,106,0,435,1093
sp003,107,0,463,1024
sp003,108,0,439,1024
sp003,109,0,428,887
sp003,110,0,588,1145
sp003,111,0,649,1578
sp003,112,0,518,1302
sp003,113,0,861,1416
sp003,114,0,503,1337
sp003,115,0,673,1254
sp003,116,0,610,1519
sp003,117,0,744,1527
sp003,118,0,523,1312
sp003,119,0,588,1674
sp003,120,0,583,1174
sp004,1,0,834,1178
sp004,2,0,700,1134
sp004,3,0,655,1426
sp004,4,0,689,1336
sp004,5,0,882,1502
sp004,6,0,739,1366
sp004,7,0,776,1359
sp004,8,0,683,1362
sp004,9,0,912,1310
sp004,10,0,765,1472
sp004,11,0,766,1145
sp004,12,0,688,1608
sp004,13,0,837,1492
sp004,14,0,695,1245
sp004,15,0,558,1230
sp004,16,0,544,1212
sp004,17,0,793,1398
sp004,18,0,616,1336
sp004,19,0,779,1556
sp004,20,0,730,1602
sp004,21,0,890,1439
sp004,22,0,1250,1860
sp004,23,0,690,1318
sp004,24,0,690,1105
sp004,25,0,537,1250
sp004,26,0,643,1369
sp004,27,0,732,1489
sp004,28,0,730,1262
sp004,29,0,645,1497
sp004,30,0,876,1188
sp004,31,0,637,1404
sp004,32,0,756,1263
sp004,33,0,642,1586
sp004,34,0,700,1330
sp004,35,0,870,1609
sp004,36,0,554,1262
sp004,37,0,649,1420
sp004,38,0,687,1354
